face_cropped_query (10632100),intersection,norms1,norms2,bhattacharyya,MDPA,cosineSimilarity,hammingDistance,Time
face_cropped_3,0.9601525902835721,0.07969481943285558,0.03357035107750873,0.0011014337514470402,0.04904580811400458,0.13046767857694624,247,10506900
face_cropped_4,0.9713758931695199,0.057248213660960195,0.025965183473128647,0.0005814443753676386,0.06488779825674723,0.13018540750057517,247,12549900
face_cropped_5,0.95639370970028,0.0872125805994399,0.037345582622610105,0.001242302524635211,0.06285071128511403,0.12935303556501113,247,13526200
lotus_cropped_1,0.8714838974396713,0.25703220512065744,0.1067212166053834,0.009200236169017776,0.22800508674397624,0.13293044866564635,247,10059500
lotus_cropped_2,0.9308443404392875,0.13831131912142489,0.05832263661348247,0.0032359143509819795,0.07602714766583128,0.13006841723938478,247,9522400
lotus_cropped_3,0.7847137108239062,0.43057257835218765,0.23278673904244815,0.03221871350993098,0.9943390837688681,0.13669029249289016,247,11583000
lotus_cropped_4,0.9191303838581464,0.16173923228370718,0.06921794704676477,0.004235110177381065,0.16062839232845338,0.13194596186950575,247,9586000
lotus_cropped_5,0.8990442258400246,0.20191154831995076,0.0835472509121717,0.00648028542587124,0.28693538577195,0.1305111092957038,247,14091000
pickles_cropped_1,0.5852308703172948,0.8295382593654105,0.4445501235486684,0.10887443957001927,1.6324423019016217,0.14566927403646365,247,308355900
pickles_cropped_2,0.6480110916537942,0.7039778166924116,0.3774593208313527,0.07969209885130045,1.4069035069899798,0.1434142431675376,247,174202200
pickles_cropped_3,0.6426425348350899,0.7147149303298204,0.38402497757727294,0.08341528673098159,1.3957976649896149,0.1435656387965339,247,369927000
pickles_cropped_4,0.6635872548741947,0.6728254902516106,0.3614175537460241,0.07383658012291515,1.3393515804942782,0.1425331340244459,247,267971400
pickles_cropped_5,0.6303869517976387,0.7392260964047228,0.3966936220616434,0.0891840926729007,1.4208451561961968,0.14452209387907905,247,275159500
