cat_cropped_query (10632100),intersection,norms1,norms2,bhattacharyya,MDPA,cosineSimilarity,hammingDistance,Time
lotus_cropped_1,0.8535228580438232,0.29295428391235345,0.12018158534404172,0.01211874779980126,0.31039331879583654,0.13011339378644377,247,10059500
lotus_cropped_2,0.9303878563055124,0.13922428738897524,0.06081756260520451,0.0034418074096123174,0.13375580421290012,0.1286298370613744,247,9522400
lotus_cropped_3,0.7750834645127316,0.44983307097453695,0.24177542677637762,0.03569006781109697,1.0013932157839316,0.13326748974528327,247,11583000
lotus_cropped_4,0.8969846496355998,0.20603070072880042,0.08624049909877106,0.006922873949708234,0.2467673418032181,0.129332854935622,247,9586000
lotus_cropped_5,0.8984501124548513,0.20309977509029742,0.08768067885800078,0.007027116384859748,0.29398951778701315,0.128867272952529,247,14091000
pickles_cropped_1,0.5756006240061201,0.8487987519877598,0.45498471575684407,0.117313998110073,1.6394964339166846,0.13968617723569812,247,308355900
pickles_cropped_2,0.6383808453426196,0.7232383093147607,0.38885510762048875,0.08775299949948821,1.4139576390050428,0.13775790805933413,247,174202200
pickles_cropped_3,0.6330122885239153,0.7339754229521696,0.3948138083065935,0.09092881871421137,1.402851797004678,0.13807430169520304,247,369927000
pickles_cropped_4,0.6539570085630201,0.6920859828739598,0.371908940482399,0.08059469203912731,1.3464057125093416,0.13739637090879014,247,267971400
pickles_cropped_5,0.6207567054864641,0.758486589027072,0.40819571738591237,0.0978682808481328,1.4278992882112602,0.13860317973700662,247,275159500
